Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
Country Code;Country;1990;;1995;;2000;;2005;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;
AFG; Afghanistan;15.1;;15.2;;14.6;;15.8;;14.9;;15.3;;15.8;;16.8;;17.7;;18.8;;19.8;;21.0;;21.4;;21.6;a
ALB; Albania;53.7;;53.5;;51.5;;47.9;;45.8;;46.5;;47.4;;43.3;;43.3;;46.1;;46.5;;46.8;;46.8;;46.7;a
DZA; Algeria;11.7;;11.8;;11.9;;12.8;;14.4;;15.2;;16.1;;16.9;;15.3;;15.2;;15.0;;14.8;;14.6;;14.6;a
AND; Andorra;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;
AGO; Angola;75.9;;75.7;;75.6;;75.5;;75.8;;75.9;;75.9;;76.0;;76.0;;76.1;;76.1;;76.1;;76.1;;76.1;a
ATG; Antigua and Barbuda;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;
ARG; Argentina;45.5;;48.0;;49.8;;49.6;;48.0;;48.2;;48.3;;47.9;;47.3;;48.0;;48.7;;49.4;;50.8;;50.7;a
ARM; Armenia;47.4;;46.7;;45.7;;45.0;;47.2;;49.7;;50.1;;50.5;;49.8;;49.0;;47.3;;47.1;;47.1;;47.1;a
AUS; Australia;52.3;;53.7;;54.6;;57.1;;58.8;;59.0;;58.9;;58.8;;58.8;;59.2;;59.4;;59.8;;60.4;;60.3;a
AUT; Austria;43.4;;48.8;;48.9;;50.7;;53.5;;53.8;;54.3;;54.6;;54.6;;54.5;;55.0;;55.0;;55.0;;55.1;a
AZE; Azerbaijan;51.7;;56.4;;56.3;;57.7;;60.2;;60.8;;61.1;;61.3;;61.9;;62.5;;63.0;;63.3;;63.7;;63.4;a
BHS; Bahamas;64.9;;68.2;;68.7;;68.8;;68.1;;68.1;;68.3;;68.3;;68.3;;68.4;;68.2;;68.2;;68.2;;68.1;a
BHR; Bahrain;29.3;;31.7;;34.8;;38.9;;43.8;;43.0;;43.2;;43.4;;43.6;;43.8;;44.0;;44.4;;44.9;;45.0;a
BDG; Bangladesh;24.7;;25.7;;27.0;;27.9;;29.9;;30.3;;30.8;;31.3;;31.9;;32.4;;32.9;;35.9;;36.1;;36.3;a
BRB; Barbados;61.1;;63.5;;62.7;;63.6;;62.9;;62.7;;61.5;;62.8;;61.5;;61.6;;62.3;;62.2;;62.0;;61.7;a
BLR; Belarus;53.3;;52.7;;53.3;;55.4;;57.5;;57.9;;58.1;;58.4;;58.5;;58.6;;58.8;;58.6;;58.1;;57.7;a
BEL; Belgium;36.6;;40.5;;43.6;;45.5;;47.5;;46.8;;46.9;;47.6;;48.0;;48.0;;47.8;;47.9;;48.7;;48.6;a
BLZ; Belize;34.3;;35.8;;40.3;;45.8;;46.4;;46.6;;46.8;;47.0;;47.8;;48.4;;50.0;;49.4;;49.7;;49.9;a
BEN; Benin;57.3;;59.9;;63.9;;67.3;;69.2;;68.1;;68.1;;68.2;;68.3;;68.4;;68.5;;68.5;;68.6;;68.8;a
BTN; Bhutan;60.0;;58.0;;60.9;;65.2;;63.5;;61.2;;62.2;;57.0;;53.9;;58.2;;58.5;;58.6;;58.7;;58.9;a
BOL; Bolivia (Plurinational State of);56.7;;58.1;;59.5;;62.6;;62.0;;61.6;;57.9;;58.7;;60.8;;54.4;;56.9;;59.1;;63.4;;63.2;a
BIH; Bosnia and Herzegovina;35.1;;34.0;;33.2;;31.6;;34.3;;34.5;;34.7;;35.5;;36.4;;36.3;;35.6;;35.9;;35.5;;35.4;a
BWA; Botswana;47.6;;48.7;;49.7;;54.7;;53.8;;57.7;;61.3;;64.8;;64.8;;64.9;;65.0;;65.1;;65.2;;65.4;a
BRA; Brazil;41.7;;47.2;;50.2;;55.1;;53.5;;52.1;;53.0;;52.9;;52.8;;53.3;;53.3;;54.1;;54.4;;54.2;a
BRN; Brunei Darussalam;46.0;;50.4;;55.9;;56.2;;57.0;;57.2;;57.5;;57.7;;57.8;;58.0;;58.2;;58.3;;57.9;;57.8;a
BGR; Bulgaria;54.4;;50.9;;44.3;;44.7;;47.7;;47.2;;47.8;;48.5;;48.6;;48.6;;47.8;;49.6;;49.3;;49.2;a
BFA; Burkina Faso;76.3;;72.9;;68.0;;62.4;;59.7;;59.3;;59.0;;58.6;;58.2;;58.3;;58.4;;58.4;;58.5;;58.3;a
BDI; Burundi;90.8;;88.0;;84.3;;81.6;;80.2;;80.0;;79.9;;79.8;;79.7;;80.0;;80.2;;80.4;;80.5;;80.4;a
CPV; Cabo Verde;42.3;;43.5;;44.1;;45.0;;47.0;;47.8;;48.7;;49.6;;50.4;;51.2;;51.9;;52.6;;53.1;;53.3;a
KHM; Cambodia;76.0;;77.2;;76.8;;75.7;;81.8;;82.4;;79.0;;75.2;;74.8;;74.3;;76.5;;76.4;;76.3;;76.3;a
CMR; Cameroon;78.9;;78.8;;78.5;;78.2;;70.6;;70.7;;70.8;;70.9;;71.0;;71.1;;71.2;;71.2;;71.3;;71.1;a
CAN; Canada;57.9;;56.8;;58.6;;60.9;;61.9;;61.6;;61.7;;61.7;;61.2;;60.9;;60.9;;61.2;;61.0;;60.8;a
CAF; Central African Republic;65.2;;65.3;;65.2;;65.1;;65.0;;65.0;;64.9;;65.0;;64.9;;64.7;;64.6;;64.6;;64.5;;64.4;a
TCD; Chad;64.8;;64.5;;64.4;;63.9;;63.8;;63.8;;63.8;;63.8;;63.8;;63.8;;63.9;;63.9;;64.0;;63.9;a
CHL; Chile;33.0;;36.3;;38.3;;41.4;;46.9;;48.8;;49.0;;49.5;;50.1;;50.1;;50.4;;51.0;;51.6;;51.8;a
CHN; China;73.2;;72.6;;71.1;;66.9;;64.0;;63.7;;63.5;;63.2;;62.9;;62.5;;62.1;;61.6;;61.1;;60.5;a
COL; Colombia;50.6;;52.8;;53.6;;52.5;;55.7;;56.5;;58.0;;57.9;;57.9;;58.5;;58.2;;57.9;;57.2;;57.3;a
COM; Comoros;31.2;;31.5;;32.2;;33.3;;34.5;;34.7;;35.0;;35.2;;35.4;;35.7;;35.9;;36.2;;36.4;;36.6;a
COG; Congo;65.3;;65.6;;66.2;;66.9;;67.7;;67.8;;67.8;;67.8;;67.7;;67.7;;67.7;;67.7;;67.6;;67.5;a
COD; Congo (Democratic Republic of the);70.4;;70.6;;70.6;;70.5;;63.9;;62.5;;61.1;;61.1;;61.1;;61.1;;61.0;;61.0;;61.0;;60.7;a
CRI; Costa Rica;33.0;;36.2;;38.7;;44.7;;45.3;;45.4;;50.4;;49.9;;49.3;;48.4;;44.9;;45.6;;48.0;;48.1;a
CIV; Côte d'Ivoire;48.3;;48.5;;48.3;;48.0;;47.8;;47.8;;47.8;;47.8;;47.8;;47.8;;47.8;;47.9;;48.1;;48.2;a
HRV; Croatia;47.4;;45.9;;45.3;;46.2;;46.2;;44.5;;44.4;;44.4;;46.1;;46.5;;45.2;;45.4;;45.5;;45.4;a
CUB; Cuba;37.0;;36.9;;36.3;;38.3;;42.0;;42.1;;42.0;;41.8;;41.5;;41.5;;41.4;;41.1;;40.9;;40.7;a
CYP; Cyprus;46.1;;47.1;;49.6;;53.2;;57.6;;56.8;;56.2;;56.3;;57.8;;57.9;;57.0;;57.3;;57.9;;57.8;a
CZE; Czechia;52.0;;52.3;;51.6;;50.8;;49.2;;49.4;;50.1;;51.0;;51.0;;51.4;;52.1;;52.5;;53.1;;52.9;a
DEK; Denmark;61.0;;58.0;;60.0;;60.5;;59.8;;59.6;;59.1;;58.6;;58.0;;57.7;;59.3;;58.1;;58.3;;58.2;a
DJI; Djibouti;45.6;;45.9;;46.6;;47.1;;49.6;;49.8;;50.0;;50.1;;50.3;;50.4;;50.4;;50.5;;50.7;;50.7;a
DMA; Dominica;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;
DOM; Dominican Republic;35.5;;37.6;;40.4;;40.2;;42.4;;44.8;;45.8;;46.2;;46.8;;49.6;;50.4;;50.6;;51.2;;51.4;a
ECU; Ecuador;46.9;;48.8;;51.5;;52.6;;49.9;;49.1;;50.3;;49.4;;48.5;;52.1;;55.7;;56.5;;55.1;;55.2;a
EGY; Egypt;21.3;;21.0;;19.9;;20.3;;22.6;;22.0;;22.4;;23.3;;23.5;;22.4;;22.8;;21.8;;21.8;;21.9;a
SLV; El Salvador;40.1;;43.1;;45.4;;45.5;;46.0;;45.7;;46.6;;47.6;;46.2;;45.2;;46.0;;45.4;;45.1;;45.3;a
GNQ; Equatorial Guinea;50.8;;50.6;;50.9;;52.3;;54.0;;54.0;;54.1;;54.3;;54.6;;54.9;;54.7;;54.6;;54.7;;54.8;a
ERI; Eritrea;72.2;;70.5;;70.1;;70.0;;71.4;;71.6;;71.7;;71.7;;71.7;;71.6;;71.6;;71.6;;71.5;;71.5;a
EST; Estonia;54.9;;53.7;;52.6;;53.5;;55.0;;55.6;;55.4;;55.3;;54.6;;56.0;;56.5;;57.1;;57.4;;57.1;a
SWZ; Eswatini (Kingdom of);42.6;;43.2;;44.0;;44.8;;45.5;;45.9;;46.2;;46.5;;46.8;;47.0;;47.5;;48.0;;48.3;;48.5;a
ETH; Ethiopia;66.4;;67.3;;71.1;;74.4;;73.8;;73.6;;73.5;;73.4;;73.4;;73.3;;73.3;;73.3;;73.3;;73.4;a
FJI; Fiji;39.9;;39.5;;36.7;;34.9;;43.1;;44.9;;43.7;;42.6;;41.5;;40.1;;38.6;;38.5;;38.3;;38.5;a
FIN; Finland;59.0;;54.8;;56.2;;56.6;;56.0;;55.8;;56.0;;55.5;;55.5;;55.5;;54.9;;55.1;;55.7;;55.5;a
FRA; France;46.3;;47.7;;48.5;;49.9;;50.8;;50.7;;50.9;;51.1;;50.8;;50.8;;50.8;;50.6;;50.8;;50.8;a
GAB; Gabon;36.1;;35.7;;36.5;;38.0;;40.2;;40.6;;41.0;;41.4;;42.0;;42.5;;42.8;;43.0;;43.1;;43.5;a
GMB; Gambia;45.8;;46.1;;47.2;;48.4;;49.7;;50.0;;50.3;;50.4;;50.5;;50.6;;50.8;;50.9;;51.0;;51.2;a
GEO; Georgia;58.9;;61.4;;54.9;;55.9;;56.4;;57.2;;57.7;;56.7;;57.8;;59.1;;57.5;;57.5;;57.4;;57.4;a
