Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
Country Code;Country;1990;;1995;;2000;;2005;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;
AFG; Afghanistan;51.4;;54.6;;57.1;;59.6;;62.5;;63.0;;63.5;;64.0;;64.5;;64.9;;65.3;;65.7;;66.0;;66.4;
ALB; Albania;75.0;;75.4;;77.0;;78.2;;79.3;;79.6;;79.8;;79.9;;80.0;;80.1;;80.1;;80.1;;80.2;;80.2;
DZA; Algeria;68.5;;70.1;;72.1;;74.4;;76.2;;76.4;;76.6;;76.9;;77.1;;77.3;;77.5;;77.7;;77.9;;78.1;
AND; Andorra;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;
AGO; Angola;47.1;;47.2;;48.7;;52.6;;58.0;;59.1;;60.0;;60.8;;61.6;;62.2;;62.8;;63.3;;63.7;;64.0;
ATG; Antigua and Barbuda;73.3;;74.3;;75.4;;76.3;;77.1;;77.2;;77.4;;77.5;;77.6;;77.7;;77.8;;77.9;;78.0;;78.1;
ARG; Argentina;75.1;;76.1;;77.0;;77.8;;78.6;;78.8;;79.0;;79.1;;79.3;;79.4;;79.6;;79.7;;79.9;;80.0;
ARM; Armenia;70.8;;72.4;;74.5;;75.6;;76.4;;76.6;;76.9;;77.2;;77.4;;77.7;;77.9;;78.2;;78.4;;78.5;
AUS; Australia;80.0;;81.2;;82.3;;83.3;;84.1;;84.3;;84.4;;84.5;;84.7;;84.8;;85.0;;85.1;;85.3;;85.4;
AUT; Austria;78.8;;79.9;;81.1;;82.3;;83.2;;83.3;;83.4;;83.5;;83.6;;83.6;;83.7;;83.7;;83.8;;83.9;
AZE; Azerbaijan;68.8;;69.4;;69.9;;71.8;;74.1;;74.4;;74.5;;74.7;;74.8;;75.0;;75.1;;75.2;;75.3;;75.5;
BHS; Bahamas;73.7;;75.0;;75.2;;74.8;;74.6;;74.7;;74.8;;74.9;;75.1;;75.3;;75.5;;75.7;;75.9;;76.1;
BHR; Bahrain;73.7;;74.5;;75.4;;76.3;;77.1;;77.2;;77.4;;77.5;;77.7;;77.8;;78.0;;78.1;;78.3;;78.4;
BDG; Bangladesh;58.2;;62.3;;66.0;;68.7;;71.3;;71.7;;72.2;;72.6;;73.0;;73.3;;73.7;;74.0;;74.3;;74.6;
BRB; Barbados;76.6;;77.8;;78.9;;79.5;;79.8;;79.9;;79.9;;80.0;;80.1;;80.2;;80.2;;80.3;;80.4;;80.5;
BLR; Belarus;75.5;;73.9;;73.1;;74.2;;76.6;;77.1;;77.6;;78.1;;78.5;;78.8;;79.1;;79.3;;79.4;;79.6;
BEL; Belgium;79.2;;80.2;;81.0;;81.8;;82.7;;82.8;;82.9;;83.1;;83.2;;83.4;;83.5;;83.6;;83.8;;83.9;
BLZ; Belize;73.6;;72.2;;71.8;;72.9;;74.7;;75.2;;75.7;;76.1;;76.5;;76.9;;77.2;;77.5;;77.7;;77.8;
BEN; Benin;55.8;;56.8;;57.0;;58.8;;60.7;;61.0;;61.3;;61.5;;61.8;;62.1;;62.4;;62.7;;63.0;;63.3;
BTN; Bhutan;53.2;;56.8;;61.1;;65.6;;68.6;;69.0;;69.5;;69.9;;70.3;;70.7;;71.1;;71.4;;71.8;;72.2;
BOL; Bolivia (Plurinational State of);57.6;;61.0;;64.4;;67.5;;70.5;;71.1;;71.6;;72.2;;72.7;;73.1;;73.5;;73.9;;74.2;;74.5;
BIH; Bosnia and Herzegovina;74.3;;75.1;;76.9;;77.8;;78.5;;78.6;;78.8;;79.0;;79.1;;79.3;;79.4;;79.6;;79.7;;79.9;
BWA; Botswana;63.1;;58.0;;53.3;;54.4;;62.6;;64.3;;66.0;;67.5;;68.9;;70.0;;70.9;;71.6;;72.0;;72.4;
BRA; Brazil;69.8;;72.0;;74.0;;75.8;;77.4;;77.7;;77.9;;78.2;;78.5;;78.7;;78.9;;79.2;;79.4;;79.6;
BRN; Brunei Darussalam;71.8;;73.1;;74.1;;75.1;;75.9;;76.0;;76.2;;76.3;;76.4;;76.5;;76.7;;76.8;;77.0;;77.1;
BGR; Bulgaria;74.8;;74.6;;75.1;;76.3;;77.3;;77.5;;77.7;;77.9;;78.0;;78.2;;78.3;;78.4;;78.5;;78.7;
BFA; Burkina Faso;50.5;;50.7;;51.7;;54.0;;57.6;;58.3;;58.9;;59.5;;60.0;;60.5;;61.0;;61.4;;61.9;;62.3;
BDI; Burundi;49.1;;48.2;;50.6;;54.9;;59.0;;59.7;;60.3;;60.9;;61.4;;61.9;;62.3;;62.7;;63.0;;63.4;
CPV; Cabo Verde;66.2;;68.1;;71.4;;74.0;;74.6;;74.7;;74.9;;75.1;;75.2;;75.4;;75.6;;75.8;;76.0;;76.2;
KHM; Cambodia;55.9;;57.4;;60.6;;65.3;;68.6;;69.1;;69.5;;69.9;;70.2;;70.6;;71.0;;71.3;;71.6;;71.9;
CMR; Cameroon;54.9;;53.2;;52.5;;53.9;;56.3;;56.8;;57.4;;57.9;;58.4;;58.9;;59.4;;59.8;;60.2;;60.6;
CAN; Canada;80.5;;81.1;;81.7;;82.5;;83.5;;83.6;;83.8;;83.9;;84.0;;84.1;;84.2;;84.2;;84.3;;84.4;
CAF; Central African Republic;51.1;;48.5;;45.7;;46.0;;48.8;;49.5;;50.2;;51.1;;51.9;;52.8;;53.6;;54.4;;55.0;;55.5;
TCD; Chad;48.2;;48.7;;48.9;;49.7;;52.2;;52.8;;53.3;;53.8;;54.2;;54.6;;54.9;;55.1;;55.4;;55.7;
CHL; Chile;76.5;;77.9;;79.4;;80.6;;81.7;;81.8;;82.0;;82.1;;82.2;;82.3;;82.3;;82.3;;82.4;;82.4;
CHN; China;71.0;;72.1;;73.4;;74.8;;76.6;;76.9;;77.3;;77.6;;78.0;;78.3;;78.6;;78.8;;79.1;;79.2;
COL; Colombia;73.6;;74.9;;76.3;;77.4;;78.4;;78.6;;78.8;;79.0;;79.2;;79.3;;79.5;;79.7;;79.9;;80.0;
COM; Comoros;58.3;;60.3;;61.1;;61.8;;63.5;;63.9;;64.3;;64.6;;64.9;;65.2;;65.4;;65.7;;65.9;;66.1;
COG; Congo;57.8;;55.0;;53.4;;56.6;;61.1;;61.9;;62.5;;63.2;;63.8;;64.3;;64.9;;65.3;;65.7;;66.0;
