Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26
Country Code;Country;1990;;1995;;2000;;2005;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;
AFG; Afghanistan;1500;;1490;;1450;;1140;;954;;905;;858;;810;;786;;701;;673;;638;
ALB; Albania;40;;38;;23;;22;;21;;22;;17;;16;;16;;15;;16;;15;
DZA; Algeria;229;;206;;161;;127;;115;;116;;116;;115;;114;;114;;113;;112;
AND; Andorra;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;
AGO; Angola;1150;;1060;;827;;519;;326;;300;;281;;269;;258;;251;;246;;241;
ATG; Antigua and Barbuda;54;;51;;44;;40;;44;;43;;44;;43;;42;;43;;43;;42;
ARG; Argentina;84;;72;;66;;59;;51;;48;;47;;44;;42;;41;;40;;39;
ARM; Armenia;52;;54;;43;;35;;32;;30;;30;;26;;27;;28;;26;;26;
AUS; Australia;8;;8;;7;;5;;5;;6;;6;;6;;6;;6;;6;;6;
AUT; Austria;8;;7;;6;;6;;5;;5;;5;;5;;5;;5;;5;;5;
AZE; Azerbaijan;37;;57;;47;;42;;31;;30;;29;;28;;28;;27;;26;;26;
BHS; Bahamas;68;;72;;75;;77;;78;;78;;78;;78;;77;;74;;72;;70;
BHR; Bahrain;21;;19;;27;;19;;18;;15;;18;;17;;15;;15;;15;;14;
BDG; Bangladesh;595;;499;;434;;343;;258;;248;;238;;227;;214;;200;;186;;173;
BRB; Barbados;76;;64;;50;;42;;36;;35;;34;;32;;31;;31;;30;;27;
BLR; Belarus;33;;33;;22;;11;;5;;5;;4;;3;;3;;3;;3;;2;
BEL; Belgium;8;;8;;8;;7;;6;;6;;6;;6;;6;;5;;5;;5;
BLZ; Belize;77;;102;;89;;70;;54;;52;;50;;48;;46;;43;;39;;36;
BEN; Benin;572;;544;;520;;500;;464;;458;;450;;441;;432;;421;;408;;397;
BTN; Bhutan;809;;557;;423;;310;;247;;239;;231;;223;;214;;203;;193;;183;
BOL; Bolivia (Plurinational State of);473;;393;;331;;271;;212;;202;;192;;184;;175;;168;;161;;155;
BIH; Bosnia and Herzegovina;27;;25;;17;;13;;11;;10;;10;;10;;10;;10;;10;;10;
BWA; Botswana;250;;218;;262;;239;;179;;176;;170;;164;;160;;156;;151;;144;
BRA; Brazil;115;;103;;69;;71;;65;;61;;60;;61;;62;;63;;62;;60;
BRN; Brunei Darussalam;33;;31;;28;;29;;28;;28;;29;;28;;29;;30;;31;;31;
BGR; Bulgaria;25;;23;;19;;15;;12;;12;;11;;10;;11;;10;;10;;10;
BFA; Burkina Faso;702;;598;;516;;437;;385;;377;;369;;362;;353;;343;;331;;320;
BDI; Burundi;1290;;1280;;1010;;814;;665;;635;;608;;591;;576;;568;;558;;548;
CPV; Cabo Verde;323;;201;;118;;86;;70;;67;;65;;63;;62;;61;;59;;58;
KHM; Cambodia;879;;699;;488;;351;;248;;232;;215;;202;;189;;178;;168;;160;
CMR; Cameroon;780;;930;;886;;692;;597;;589;;580;;567;;564;;554;;538;;529;
CAN; Canada;7;;8;;9;;11;;11;;11;;11;;11;;11;;11;;10;;10;
CAF; Central African Republic;1230;;1320;;1280;;1200;;1000;;981;;963;;1030;;961;;912;;890;;829;
TCD; Chad;1340;;1330;;1420;;1330;;1240;;1210;;1190;;1170;;1170;;1160;;1140;;1140;
CHL; Chile;63;;45;;31;;25;;20;;18;;17;;16;;15;;14;;13;;13;
CHN; China;95;;74;;59;;44;;36;;34;;33;;32;;31;;30;;29;;29;
COL; Colombia;121;;105;;94;;83;;85;;84;;85;;85;;85;;85;;84;;83;
COM; Comoros;592;;496;;444;;404;;341;;326;;313;;302;;293;;285;;279;;273;
COG; Congo;662;;702;;739;;677;;506;;488;;468;;449;;433;;416;;397;;378;
COD; Congo (Democratic Republic of the);853;;830;;760;;627;;542;;532;;524;;514;;500;;490;;481;;473;
CRI; Costa Rica;47;;47;;40;;33;;32;;30;;29;;29;;29;;28;;28;;27;
CIV; Côte d'Ivoire;704;;721;;704;;704;;701;;703;;702;;691;;676;;658;;636;;617;
HRV; Croatia;11;;13;;11;;10;;9;;9;;8;;9;;8;;8;;7;;8;
CUB; Cuba;63;;59;;46;;41;;41;;38;;39;;40;;39;;38;;37;;36;
CYP; Cyprus;12;;15;;14;;12;;8;;8;;7;;6;;8;;7;;6;;6;
CZE; Czechia;13;;10;;7;;5;;4;;4;;4;;4;;4;;4;;4;;3;
DEK; Denmark;10;;10;;8;;6;;5;;5;;5;;4;;4;;4;;4;;4;
DJI; Djibouti;603;;569;;507;;393;;283;;272;;262;;256;;256;;247;;246;;248;
DMA; Dominica;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;;..;
DOM; Dominican Republic;161;;121;;80;;83;;96;;95;;94;;94;;94;;94;;94;;95;
ECU; Ecuador;191;;153;;122;;94;;78;;76;;71;;67;;65;;63;;61;;59;
EGY; Egypt;125;;88;;64;;52;;45;;42;;42;;40;;39;;39;;38;;37;
SLV; El Salvador;113;;89;;73;;62;;54;;53;;52;;50;;49;;48;;47;;46;
GNQ; Equatorial Guinea;1100;;742;;454;;344;;308;;308;;305;;300;;295;;296;;301;;301;
